machine	weight
control	170.25
control	171.23
control	171.55
control	172.01
control	171.69
control	173.60
control	170.98
control	171.02
control	172.13
control	172.36
m1	172.25
m1	173.12
m1	170.36
m1	171.22
m1	173.65
m1	170.65
m1	171.00
m1	172.84
m1	170.82
m1	174.00
m2	171.23
m2	172.36
m2	174.65
m2	174.84
m2	175.98
m2	173.25
m2	176.45
m2	170.96
m2	172.59
m2	178.50
m3	171.65
m3	172.32
m3	172.52
m3	172.80
m3	174.20
m3	173.21
m3	171.09
m3	171.69
m3	172.46
m3	172.30
