block	rice	overall
J1	r2	6
J2	r2	9
J3	r2	8
J4	r2	5
J5	r2	8
J6	r2	9
J7	r2	7
J8	r2	9
J9	r2	3
J10	r2	7
J11	r2	2
J12	r2	5
J13	r2	3
J14	r2	5
J15	r2	7
J16	r2	6
J17	r2	8
J18	r2	8
J19	r2	8
J20	r2	4
J21	r2	9
J22	r2	2
J23	r2	3
J24	r2	4
J25	r2	1
J26	r2	2
J27	r2	1
J28	r2	2
J29	r2	1
J30	r2	4
J1	r3	7
J2	r3	7
J3	r3	7
J4	r3	7
J5	r3	7
J6	r3	8
J7	r3	7
J8	r3	6
J9	r3	5
J10	r3	6
J11	r3	4
J12	r3	7
J13	r3	9
J14	r3	8
J15	r3	4
J16	r3	4
J17	r3	8
J18	r3	9
J19	r3	9
J20	r3	8
J21	r3	5
J22	r3	2
J23	r3	5
J24	r3	7
J25	r3	2
J26	r3	2
J27	r3	3
J28	r3	4
J29	r3	9
J30	r3	6
J1	r5	9
J2	r5	7
J3	r5	7
J4	r5	6
J5	r5	8
J6	r5	8
J7	r5	7
J8	r5	9
J9	r5	6
J10	r5	9
J11	r5	6
J12	r5	7
J13	r5	6
J14	r5	9
J15	r5	6
J16	r5	7
J17	r5	8
J18	r5	9
J19	r5	5
J20	r5	9
J21	r5	5
J22	r5	6
J23	r5	5
J24	r5	4
J25	r5	9
J26	r5	7
J27	r5	8
J28	r5	9
J29	r5	5
J30	r5	8
