trt	time	temp	moisture
t250.60	250m	60c	8.92
t250.60	250m	60c	8.86
t250.60	250m	60c	8.65
t250.60	250m	60c	8.46
t250.60	250m	60c	8.79
t250.70	250m	70c	7.96
t250.70	250m	70c	8.01
t250.70	250m	70c	7.65
t250.70	250m	70c	7.69
t250.70	250m	70c	7.98
t250.80	250m	80c	6.25
t250.80	250m	80c	6.35
t250.80	250m	80c	6.45
t250.80	250m	80c	6.33
t250.80	250m	80c	6.45
t340.60	340m	60c	7.92
t340.60	340m	60c	7.65
t340.60	340m	60c	7.69
t340.60	340m	60c	8.01
t340.60	340m	60c	7.69
t340.70	340m	70c	6.23
t340.70	340m	70c	6.12
t340.70	340m	70c	6.01
t340.70	340m	70c	6.11
t340.70	340m	70c	6.09
t340.80	340m	80c	5.36
t340.80	340m	80c	5.01
t340.80	340m	80c	4.89
t340.80	340m	80c	5.03
t340.80	340m	80c	5.66
t460.60	460m	60c	5.36
t460.60	460m	60c	5.46
t460.60	460m	60c	4.99
t460.60	460m	60c	5.56
t460.60	460m	60c	5.78
t460.70	460m	70c	5.52
t460.70	460m	70c	5.32
t460.70	460m	70c	5.01
t460.70	460m	70c	5.09
t460.70	460m	70c	5.13
t460.80	460m	80c	4.98
t460.80	460m	80c	5.02
t460.80	460m	80c	5.30
t460.80	460m	80c	5.22
t460.80	460m	80c	5.09
